TICKER,Year,Current_Ratio,Debt_to_Equity,Net_Income_to_Assets,Operating_Margin,Cash_Ratio,Operating_Cash_Flow_Ratio,Settore,esg overall,esg environmental,esg social,esg governance,downside risk
AMCR,2018-01-01,0.6995826979120725,7.295919496050432,0.0783462584209779,0.1142063119592656,0.0780271990062882,0.1153055248565835,Containers & Packaging,6.17,5.06,6.69,7.44,0.0022366339243159
AMCR,2019-01-01,1.1471442912109633,2.024829504407355,0.0249596307160966,0.0837051489459443,0.0523572067641483,0.0672663501862352,Containers & Packaging,5.77,4.46,6.19,7.43,0.006080355558478
AMCR,2020-01-01,1.141206970116753,2.507947350492579,0.0378649381608675,0.0797272946880594,0.0631731208229397,0.1197505364336085,Containers & Packaging,6.1,4.48,7.86,7.32,0.0054958080049036
AMCR,2021-01-01,1.2119677845732348,2.5652354175825,0.0542820212968333,0.1027136275197678,0.0687312995842732,0.1173820365078545,Containers & Packaging,6.13,4.51,7.85,7.39,0.0056041062104563
AMCR,2022-01-01,1.146972379955115,3.208162279978829,0.043021507637674,0.0851897697639408,0.0583364706055023,0.1069745446562779,Containers & Packaging,6.8,6.09,7.66,7.23,0.0046070753499806
AMCR,2023-01-01,1.18588024056676,3.157212741877415,0.0643458811609059,0.1026269217125553,0.0533570854721462,0.1019466498983952,Containers & Packaging,6.71,6.02,7.39,7.23,0.0016356296130039
AME,2016-01-01,2.08579029285453,1.180453120497139,0.0687674138021666,0.2088226079869811,0.1865840095243872,0.1877059394545788,"Machinery, Equipment & Components",1.88,0.0,1.73,6.15,0.0031222272772687
AME,2017-01-01,1.6990584589928472,0.9356440839028184,0.093212867178607,0.2128041380837814,0.1715037240329937,0.2357892159170939,"Machinery, Equipment & Components",2.05,0.0,1.73,7.07,0.0019834181311241
AME,2018-01-01,1.4587576452571562,1.042066760609709,0.0871594349642552,0.2219497340836054,0.0800782163841547,0.203203631258097,"Machinery, Equipment & Components",2.1,0.0,1.73,7.32,0.0015867708449794
AME,2019-01-01,1.420738280276667,0.9244598492433874,0.0877688035918623,0.2282382564454146,0.0831094272994281,0.2364055694006603,"Machinery, Equipment & Components",2.89,1.38,1.73,7.2,0.0042387516238481
AME,2020-01-01,2.344488049630148,0.7409447947286253,0.0903288234743331,0.2264047230089498,0.2751325489386932,0.3116253420148104,"Machinery, Equipment & Components",5.55,2.5,9.17,7.12,0.0009928222856139
AME,2021-01-01,1.3617002650081842,0.7314301304260811,0.0801496057456118,0.2359446022088513,0.0689914664514949,0.2223842831024141,"Machinery, Equipment & Components",5.56,2.39,9.17,7.35,0.0019608265785656
AME,2022-01-01,1.6161966384265574,0.6626897711010049,0.095066768322677,0.243993935562213,0.0697100649901072,0.2364308781894552,"Machinery, Equipment & Components",5.55,2.39,9.17,7.35,0.0032642816369625
AME,2023-01-01,0.9799120460170916,0.7208710581497174,0.0894392840297212,0.2588255190406515,0.0651170759154311,0.2821406806161362,"Machinery, Equipment & Components",,,,,0.0014515113192653
AMP,2015-01-01,,16.345625918881492,0.0105278687458075,,-0.0020098061746625,0.0183958063726592,Investment Banking & Investment Services,3.41,0.0,3.21,7.49,0.0039880869812628
AMP,2016-01-01,,21.222028130451708,0.0089598621027705,,-0.0002784632637521,0.0140730868388586,Investment Banking & Investment Services,3.65,0.51,3.39,7.28,0.0032830979525739
AMP,2017-01-01,,23.58652880584841,0.0107019400499846,,-0.0018693287136806,0.0128214844125917,Investment Banking & Investment Services,3.83,1.16,3.55,6.8,0.002086044206971
AMP,2018-01-01,,23.55547616895758,0.0148390314930025,,0.0054488013595518,0.019148223734185,Investment Banking & Investment Services,3.8,1.16,3.55,6.67,0.0018373978287925
AMP,2019-01-01,,25.50165833063519,0.0125078381974437,,0.0022659493132705,0.0160745072937208,Investment Banking & Investment Services,3.76,1.14,3.4,6.86,0.0087291308541691
AMP,2020-01-01,,27.273904907127925,0.0099167409499962,,0.0180274530536556,0.0309817526618144,Investment Banking & Investment Services,3.78,1.08,3.53,6.72,0.0014132480093408
AMP,2021-01-01,,29.9549693811732,0.0151067819381125,,0.0037670260136201,0.0188068479324989,Investment Banking & Investment Services,4.05,1.06,4.13,6.62,0.0014436282979482
AMP,2022-01-01,,42.86050338201379,0.0164581576949138,,-0.005357370299828,0.0290048305008753,Investment Banking & Investment Services,4.14,1.15,4.11,6.93,0.0020395385732921
AMP,2023-01-01,,36.04609858068462,0.0149287192180131,,-0.0008103632607002,0.0281226023088784,Investment Banking & Investment Services,4.14,1.15,4.11,6.93,0.0007680318957239
AON,2015-01-01,1.0677059498308492,3.407593671336984,0.0499456505992898,0.1581920921657993,0.0352364186473143,0.0937090599286366,Insurance,,,,6.75,0.0039638788056113
AON,2016-01-01,1.052100837896054,3.8110990549758377,0.0500077474778651,0.1639287854183698,0.0341981684899132,0.1051854465807556,Insurance,,,,6.72,0.0031504599887423
AON,2017-01-01,1.0722853784345112,4.612736693472002,0.0501134359660737,0.097919585721321,0.0599346995689591,0.0365069673125129,Insurance,,,,7.03,0.001993608805329
AON,2018-01-01,1.080926596685151,5.262621391809124,0.041653566164372,0.1433611869707733,0.0372922571966842,0.0736971558901453,Insurance,,,,6.85,0.0018459334660143
AON,2019-01-01,1.0581208671216848,7.525659534444818,0.052266219752084,0.1969490618821485,0.0357528140972385,0.0709221363723632,Insurance,,,,6.95,0.0072810002661758
AON,2020-01-01,1.0717604554692928,7.962880388830752,0.065750160415533,0.2513103207682877,0.0417791164066848,0.1046024149214705,Insurance,,,,7.0,0.0016962051732092
AON,2021-01-01,0.9978503664213948,26.56217537487519,0.0378743658976881,0.1714098228781625,0.0271790360490035,0.0683291852915193,Insurance,3.79,7.53,1.82,6.81,0.0012235483604078
AON,2022-01-01,1.0205358026620892,-77.23310533133196,0.0806833062540842,0.2940139427325408,0.0344671465475705,0.0990176752545311,Insurance,3.7,5.77,1.93,6.75,0.0016434285818643
AON,2023-01-01,1.0024479234163317,-46.76684840753694,0.0772567820823004,0.2829694928895208,0.0330538027866441,0.1012880583098975,Insurance,3.7,5.77,1.93,6.75,0.0008845184868853
APA,2015-01-01,2.0380228554302,3.4564805781945545,-1.2019423958287847,-4.386899156801848,0.1003831919353015,0.200019035947128,Oil & Gas,4.24,3.96,2.08,7.55,0.0115397386432714
APA,2016-01-01,1.758545859964795,1.932543316010056,-0.0594847380919585,-0.2293646280943221,0.0927897552639728,0.1561171839356568,Oil & Gas,4.42,3.82,2.65,7.79,0.0083207247252074
APA,2017-01-01,1.4528081169693718,1.4936867337291235,0.0634310486340023,0.2209666279353487,0.1270276413071377,0.1971766015863345,Oil & Gas,4.42,3.87,2.61,7.77,0.0063554455669728
